                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                 2.1579,                 1.7429,                0.96193,                0.34774,                0.36782,                 0.2973,                0.10011,                  2.315,                 1.9025,                0.98254,              0.0075448,              0.0075448,              0.0075448
                    126,                 2.1606,                 1.7405,                0.96582,                0.31865,                0.36558,                0.28681,                0.09932,                 2.3166,                 1.8908,                 0.9836,               0.007525,               0.007525,               0.007525
                    127,                  2.151,                  1.719,                0.96016,                0.32705,                0.36851,                0.29309,                0.10121,                 2.3041,                  1.877,                0.97941,              0.0075052,              0.0075052,              0.0075052
                    128,                 2.1616,                 1.7332,                0.96094,                0.33323,                0.39198,                0.28749,                0.09967,                 2.3197,                 1.8793,                0.98399,              0.0074854,              0.0074854,              0.0074854
                    129,                 2.1556,                 1.7306,                0.96274,                0.36935,                0.34293,                0.28436,                0.09613,                 2.3306,                 1.8934,                0.98608,              0.0074656,              0.0074656,              0.0074656
                    130,                 2.1492,                 1.7242,                0.95902,                0.37082,                0.37344,                0.28503,                0.09965,                 2.3063,                 1.8941,                0.98522,              0.0074458,              0.0074458,              0.0074458
                    131,                 2.1515,                 1.7259,                0.96438,                0.34866,                0.37107,                 0.2852,                 0.0933,                 2.3056,                 1.9066,                0.98484,               0.007426,               0.007426,               0.007426
                    132,                 2.1385,                 1.6972,                0.95883,                0.37156,                0.36024,                0.30258,                0.10717,                 2.3057,                 1.8865,                0.98099,              0.0074062,              0.0074062,              0.0074062
                    133,                 2.1441,                  1.719,                0.96105,                0.35146,                0.37091,                0.28274,                0.10114,                 2.3215,                 1.8908,                0.98585,              0.0073864,              0.0073864,              0.0073864
                    134,                  2.147,                 1.7093,                  0.968,                0.36482,                0.35541,                  0.292,                0.10112,                  2.316,                 1.9112,                0.98675,              0.0073666,              0.0073666,              0.0073666
                    135,                 2.1429,                 1.7159,                0.96344,                0.34503,                0.36928,                0.28354,                0.09933,                 2.3218,                 1.8973,                0.98461,              0.0073468,              0.0073468,              0.0073468
